sender,receiver,amount,timestamp,latitude,longitude
user_2,user_3,7000.397527,11:06.7,12.75771,77.63014
user_2,user_3,1963.197924,47:58.0,12.97033,77.53017
user_2,user_5,2395.857823,48:06.7,12.97761,77.34117
user_2,user_1,2823.545077,26:58.0,12.80228,77.15162
user_2,user_1,2556.779126,59:55.0,12.48207,77.63904
user_2,user_5,2612.841923,08:43.1,12.63561,77.82643
user_2,user_4,6713.839211,18:06.7,12.95635,77.30684
user_2,user_1,6745.279669,56:43.1,12.67028,77.80551
user_2,user_1,4236.52643,57:43.1,12.31031,77.69475
user_2,user_1,4014.152108,01:43.1,12.00112,77.30303
user_2,user_4,2184.322784,39:43.1,12.28794,77.23808
user_2,user_5,3978.16357,03:58.0,12.24832,77.72603
user_2,user_3,1653.549597,50:06.7,12.55775,77.069
user_2,user_3,4742.025934,42:58.0,12.83164,77.65566
user_2,user_3,2111.46916,41:43.1,12.91466,77.49109
user_2,user_3,2643.698002,00:58.0,12.01582,77.09464
user_2,user_1,1432.763945,03:58.0,12.18653,77.01855
user_2,user_5,6341.993577,42:58.0,12.33709,77.73717
user_2,user_1,2172.915518,33:43.1,12.60711,77.77423
user_2,user_5,3173.005352,56:58.0,12.58576,77.9456
user_2,user_3,1551.320029,45:58.0,12.46979,77.76481
user_2,user_1,8713.539159,19:06.7,12.39483,77.11352
user_2,user_4,1746.684176,30:43.1,12.12559,77.49717
user_2,user_1,2228.298965,58:58.0,12.41794,77.1561
user_2,user_4,1196.782122,37:58.0,12.57336,77.69658
user_2,user_1,1107.321041,43:58.0,12.37385,77.04064
user_2,user_4,1161.470361,12:43.1,12.29127,77.61757
user_2,user_5,1950.858646,25:58.0,12.80013,77.1959
user_2,user_5,6500.982817,45:06.7,12.38172,77.86803
user_2,user_1,1972.694535,03:43.1,12.05474,77.58574
user_2,user_1,9568.775365,15:43.1,12.44406,77.32568
user_2,user_5,1563.531402,52:43.1,12.87215,77.41997
user_2,user_3,6578.70536,17:58.0,12.8515,77.56949
user_2,user_4,2093.356495,06:43.1,12.16567,77.38127
user_2,user_4,1532.35755,55:43.1,12.29835,77.12796
user_2,user_5,4582.570151,23:43.1,12.8882,77.25881
user_2,user_3,9353.998953,53:58.0,12.35753,77.97869
user_2,user_5,2223.905539,24:43.1,12.88985,77.18902
user_2,user_4,2110.825706,59:58.0,12.40629,77.46673
user_2,user_3,2922.701961,27:43.1,12.80238,77.3739
user_2,user_3,16713.02758,57:43.1,12.80979,77.76608
user_3,user_4,4003.883086,24:06.7,12.29664,77.89802
user_3,user_2,1831.722981,02:06.7,12.73669,77.67169
user_3,user_1,3121.194328,29:58.0,12.05334,77.35258
user_3,user_1,1693.455641,33:58.0,12.06375,77.71247
user_3,user_5,8731.024689,28:58.0,12.86312,77.97236
user_3,user_1,3391.854915,21:58.0,12.04537,77.87727
user_3,user_2,4303.185182,22:55.0,12.33031,77.50628
user_3,user_4,2531.670578,59:58.0,12.31762,77.64055
user_3,user_1,2951.924251,05:06.7,12.18764,77.96208
user_3,user_5,8441.335838,11:55.0,12.76319,77.64058
user_3,user_4,1312.575722,07:58.0,12.64107,77.08202
user_3,user_5,5312.286424,26:43.1,12.35874,77.82804
user_3,user_4,4031.801635,23:06.7,12.6276,77.04021
user_3,user_4,1282.118674,39:58.0,12.44288,77.50517
user_3,user_5,2351.106665,15:43.1,12.61992,77.75311
user_3,user_5,7393.152352,36:06.7,12.2193,77.32428
user_3,user_1,4021.676556,37:06.7,12.37073,77.39942
user_3,user_2,9831.777612,59:43.1,12.3794,77.67388
user_3,user_2,1152.516685,53:58.0,12.79995,77.58398
user_3,user_2,1327.622703,10:58.0,12.98753,77.15806
user_3,user_4,2846.718909,23:43.1,12.56985,77.45967
user_3,user_2,1195.674749,47:06.7,12.25863,77.25114
user_3,user_1,4057.923415,29:58.0,12.27673,77.07789
user_3,user_5,1855.702,39:58.0,12.64739,77.53353
user_3,user_1,4564.316837,36:58.0,12.52478,77.07752
user_3,user_2,2758.397855,27:43.1,12.58311,77.88042
user_3,user_1,7457.401895,34:58.0,12.43505,77.62418
user_3,user_5,4656.388937,05:58.0,12.73662,77.06891
user_3,user_5,1075.888788,42:06.7,12.14317,77.20661
user_3,user_2,1795.742836,54:43.1,12.7675,77.33116
user_3,user_5,1565.319578,46:43.1,12.75691,77.52247
user_3,user_1,3452.871004,09:58.0,12.19181,77.17869
user_3,user_5,1785.801442,32:06.7,12.3913,77.38541
user_3,user_4,5467.49767,10:58.0,12.61988,77.61598
user_3,user_2,1048.517016,15:43.1,12.08579,77.92968
user_3,user_4,4543.434757,27:06.7,12.06855,77.8663
user_3,user_4,1141.971221,34:43.1,12.3874,77.30333
user_3,user_2,8545.523823,27:43.1,12.3925,77.36169
user_3,user_4,1844.976031,36:58.0,12.63841,77.33515
user_3,user_1,1925.311882,09:58.0,12.17647,77.46275
user_3,user_1,2974.644009,58:58.0,12.0432,77.10575
user_3,user_2,1004.595732,44:43.1,12.53095,77.95094
user_3,user_1,3055.335563,22:43.1,12.11976,77.12141
user_3,user_4,1755.689257,27:43.1,12.84841,77.54871
user_3,user_1,1545.683391,42:58.0,12.58352,77.99783
user_3,user_4,8455.648836,45:43.1,12.37252,77.20005
user_3,user_4,3453.230751,30:43.1,12.262,77.87337
user_3,user_5,1659.806617,12:58.0,12.86592,77.14459
user_3,user_1,7144.689685,24:43.1,12.62306,77.89956
user_3,user_1,6655.947196,08:43.1,12.6397,77.35343
user_3,user_1,2343.814542,37:43.1,12.93524,77.94413
user_3,user_4,4642.37925,10:06.7,12.85349,77.95983
user_3,user_5,2487.594962,23:58.0,12.97408,77.135
user_3,user_4,7451.664531,31:58.0,12.16536,77.78221
user_3,user_4,5155.02367,55:06.7,12.98051,77.91752
user_3,user_4,6457.995162,28:58.0,12.7108,77.99045
user_3,user_2,7548.292346,01:58.0,12.07495,77.41573
user_3,user_4,6451.308207,27:58.0,12.04424,77.11219
user_3,user_4,7054.927408,46:43.1,12.78921,77.36194
user_3,user_1,53745.46777,23:43.1,12.12073,77.13697
user_3,user_5,1644.071683,11:58.0,12.13683,77.08729
user_3,user_2,1747.805705,19:43.1,12.13586,77.75878
user_3,user_4,3849.116381,58:06.7,12.15888,77.80502
user_4,user_5,2423.31679,57:58.0,12.22437,77.98194
user_4,user_5,1480.154296,09:43.1,12.0283,77.76931
user_4,user_3,5424.81125,21:58.0,12.25827,77.993
user_4,user_3,5454.942857,47:55.0,12.36311,77.96985
user_4,user_3,3487.29442,13:06.7,12.24208,77.51455
user_4,user_3,9444.524569,05:58.0,12.39226,77.8778
user_4,user_5,4742.666518,09:58.0,12.89535,77.66013
user_4,user_3,445.5434748,43:58.0,12.7131,77.89529
user_4,user_2,5441.395802,02:58.0,12.41764,77.45588
user_4,user_1,1743.275756,57:58.0,12.70639,77.11854
user_4,user_2,2467.92165,54:58.0,12.60187,77.50472
user_4,user_5,1624.194413,42:43.1,12.09067,77.10387
user_4,user_3,3922.067349,39:43.1,12.42274,77.32809
user_4,user_1,4262.179984,47:58.0,12.6042,77.82222
user_4,user_3,7283.358286,43:58.0,12.47752,77.52439
user_4,user_1,8243.547644,15:43.1,12.00011,77.93002
user_4,user_1,2722.386999,24:43.1,12.19787,77.97841
user_4,user_5,2923.392085,19:58.0,12.78918,77.09687
user_4,user_2,1421.956613,22:43.1,12.70021,77.12126
user_4,user_3,9234.675611,38:43.1,12.10733,77.12218
user_4,user_3,1238.354908,00:55.0,12.99691,77.51121
user_4,user_3,1425.630018,55:58.0,12.97648,77.78529
user_4,user_5,7326.493313,46:58.0,12.01526,77.72369
user_4,user_3,1381.783681,13:43.1,12.56489,77.9558
user_4,user_1,4250.172962,07:58.0,12.38319,77.33123
user_4,user_1,2460.756407,35:43.1,12.92058,77.4474
user_4,user_2,1247.008081,42:43.1,12.26428,77.81823
user_4,user_1,5259.27685,50:43.1,12.93845,77.62042
user_4,user_5,2266.957048,07:43.1,12.1695,77.28648
user_4,user_1,3323.287298,09:58.0,12.11574,77.86165
user_4,user_5,2045.617846,53:06.7,12.41707,77.45516
user_4,user_2,2735.399476,09:06.7,12.06747,77.09486
user_4,user_5,7539.616914,42:43.1,12.73637,77.18982
user_4,user_5,1729.758924,36:43.1,12.97732,77.86384
user_4,user_1,2437.277832,00:58.0,12.70778,77.37118
user_4,user_5,1126.119285,05:43.1,12.21083,77.22884
user_4,user_5,1543.921685,41:58.0,12.1113,77.51906
user_4,user_2,9234.137117,12:43.1,12.15391,77.6955
user_4,user_2,3542.518344,30:58.0,12.90403,77.48277
user_4,user_1,3425.606353,25:06.7,12.77894,77.87897
user_4,user_1,3541.276127,02:58.0,12.78953,77.91173
user_4,user_2,1922.654197,42:58.0,12.46571,77.89362
user_4,user_5,3822.604483,12:58.0,12.52104,77.12518
user_4,user_2,3422.136247,29:58.0,12.15706,77.14351
user_5,user_1,2027.870939,13:58.0,12.05776,77.4294
user_5,user_1,1427.507722,08:06.7,12.23691,77.24898
user_5,user_1,4361.038318,12:06.7,12.93767,77.30853
user_5,user_3,2291.659781,51:58.0,12.63565,77.98865
user_5,user_2,1424.053687,31:43.1,12.67984,77.16006
user_5,user_1,1245.85377,15:58.0,12.99612,77.64162
user_5,user_3,3322.09176,34:06.7,12.83682,77.18184
user_5,user_3,3112.128893,33:58.0,12.96816,77.13535
user_5,user_2,1037.781668,49:06.7,12.86828,77.55511
user_5,user_2,8239.465508,59:43.1,12.20662,77.53071
user_5,user_4,2752.788392,09:06.7,12.15678,77.66209
user_5,user_2,2225.177991,47:43.1,12.35938,77.79362
user_5,user_2,7212.209189,19:43.1,12.53497,77.04802
user_5,user_3,2724.12118,22:58.0,12.4423,77.5494
user_5,user_4,3027.603265,43:58.0,12.25639,77.91167
user_5,user_1,4235.986003,09:58.0,12.17068,77.71658
user_5,user_2,3322.17292,00:58.0,12.43797,77.39516
user_5,user_1,1424.278211,08:06.7,12.10061,77.82287
user_5,user_3,3728.069274,24:06.7,12.70341,77.77209
user_5,user_4,1213.832718,08:43.1,12.11799,77.81449
user_5,user_4,8124.232055,22:43.1,12.24042,77.06519
user_5,user_1,7232.24845,40:58.0,12.97167,77.8377
user_5,user_4,1235.370425,50:06.7,12.15014,77.4891
user_5,user_4,1215.882329,27:06.7,12.53154,77.11349
user_5,user_3,8218.234737,23:43.1,12.60605,77.09117
user_5,user_1,2250.681839,26:06.7,12.96798,77.39787
user_5,user_2,1329.770238,39:43.1,12.32194,77.18797
user_5,user_3,3321.991757,47:43.1,12.45503,77.98298
user_5,user_4,7282.108713,51:58.0,12.9306,77.71316
user_5,user_2,1227.633165,58:58.0,12.94325,77.59497
user_5,user_2,219.6430598,48:57.6,12.13409,77.55075
user_5,user_4,1629.684845,29:43.1,12.98742,77.08204
user_5,user_3,4620.507501,23:58.0,12.34788,77.8893
user_5,user_4,1720.911411,22:06.7,12.01925,77.79424
user_5,user_2,1524.375121,11:43.1,12.76826,77.86303
user_5,user_3,1942.686196,07:58.0,12.7766,77.90182
user_5,user_1,5238.09885,22:06.7,12.87805,77.0943
user_5,user_4,6239.202462,01:43.1,12.88917,77.1334
user_5,user_2,1236.228893,05:58.0,12.78718,77.73057
user_5,user_4,5123.411672,20:43.1,12.11531,77.22244
user_5,user_1,6323.663214,22:58.0,12.45522,77.8364
user_5,user_3,2033.948281,30:43.1,12.16264,77.28343
user_5,user_4,3234.850829,34:43.1,12.60149,77.88975
user_5,user_1,1233.549897,06:43.1,12.3597,77.24246
user_5,user_2,6233.951391,46:58.0,12.63228,77.98645
user_5,user_4,2280.47087,08:43.1,12.96574,77.26389
user_5,user_3,1280.507691,48:43.1,12.36318,77.61882
user_5,user_1,1259.635542,10:06.7,12.19075,77.3982
user_5,user_2,7761.420254,47:58.0,12.74537,77.24297
37:33.7,user_3,user_2,100000,78.89,67.92
41:53.5,user_3,user_2,300000,89.473,87.99
00:57.6,user_1,user_3,2000000,88.789,67.789
19:21.2,user_1,user_5,100000,78.89,77.89
24:57.4,user_3,user_2,100000,77.89,88.908
28:50.3,user_3,user_5,300000,77.89,88.908
10:02.9,user2,user4,50000,-67,23
